image,nonceIndex,perturbation,height,width,changedCipherBytes,changedCipherPixels,meanChannelNPCR_percent,minimumChannelNPCR_percent,meanChannelUACI_percent,minimumChannelUACI_percent,roundTripPass
kodim21.png,1,masterKeyBit,512,768,1174920,393216,99.5992024739583,99.597422281901,33.4642866546033,33.4223000520195,1
kodim21.png,1,nonceBit,512,768,1174981,393216,99.6043735080295,99.6007283528646,33.4493174168539,33.4407970952053,1
kodim21.png,2,plaintextBit,512,768,1174990,393216,99.6051364474826,99.5958964029948,33.4823797886668,33.4809616188598,1
kodim21.png,2,masterKeyBit,512,768,1175065,393216,99.6114942762587,99.6055603027344,33.473648370481,33.4572277193755,1
kodim21.png,2,nonceBit,512,768,1175098,393216,99.6142917209201,99.6103922526042,33.5114140396285,33.4777163835912,1
kodim21.png,3,plaintextBit,512,768,1175077,393216,99.6125115288628,99.603017171224,33.460753530199,33.4036264855878,1
kodim21.png,3,masterKeyBit,512,768,1175045,393216,99.6097988552518,99.6047973632812,33.4320118224699,33.3863830566407,1
kodim21.png,3,nonceBit,512,768,1175061,393216,99.6111551920573,99.6045430501302,33.4718475674233,33.4536284403085,1
kodim22.png,1,plaintextBit,512,768,1175009,393216,99.6067470974392,99.5928446451823,33.4611082388685,33.4459940592448,1
kodim22.png,1,masterKeyBit,512,768,1175151,393216,99.6187845865885,99.6126810709635,33.4502525578917,33.4260858273974,1
kodim22.png,1,nonceBit,512,768,1175168,393216,99.6202256944444,99.6175130208333,33.4437122220308,33.4307851355061,1
kodim22.png,2,plaintextBit,512,768,1175085,393216,99.6131896972656,99.609629313151,33.4745688843572,33.4031178592857,1
kodim22.png,2,masterKeyBit,512,768,1175098,393216,99.6142917209201,99.6068318684896,33.4428678358822,33.4132624607461,1
kodim22.png,2,nonceBit,512,768,1175043,393216,99.609629313151,99.5989481608073,33.4781538686981,33.4530270645042,1
kodim22.png,3,plaintextBit,512,768,1174987,393216,99.6048821343316,99.5951334635417,33.4534279817071,33.4409895753549,1
kodim22.png,3,masterKeyBit,512,768,1175100,393216,99.6144612630208,99.6004740397135,33.4570505312586,33.4291485555811,1
kodim22.png,3,nonceBit,512,768,1174958,393216,99.6024237738715,99.5900472005208,33.4557563598899,33.4203652774587,1
kodim23.png,1,plaintextBit,512,768,1175042,393216,99.6095445421007,99.6045430501302,33.4681362575955,33.4384484384575,1
kodim23.png,1,masterKeyBit,512,768,1175146,393216,99.6183607313368,99.6121724446615,33.4485162473193,33.4167729795369,1
kodim23.png,1,nonceBit,512,768,1175005,393216,99.6064080132379,99.59716796875,33.4712737837649,33.4310254863665,1
kodim23.png,2,plaintextBit,512,768,1175073,393216,99.6121724446615,99.6070861816406,33.4725107762289,33.442166396995,1
kodim23.png,2,masterKeyBit,512,768,1174991,393216,99.605221218533,99.591064453125,33.4821716840491,33.4567170984605,1
kodim23.png,2,nonceBit,512,768,1175058,393216,99.6109008789062,99.6060689290365,33.4527980164506,33.4003383661408,1
kodim23.png,3,plaintextBit,512,768,1175002,393216,99.6061537000868,99.590810139974,33.4695009052884,33.4047484553718,1
kodim23.png,3,masterKeyBit,512,768,1175128,393216,99.6168348524306,99.6114095052083,33.4632713966121,33.4580714406531,1
kodim23.png,3,nonceBit,512,768,1174998,393216,99.6058146158854,99.5943705240885,33.4385890586704,33.424095203674,1
kodim24.png,1,plaintextBit,512,768,1175067,393216,99.6116638183594,99.5992024739583,33.4162517206861,33.3823409734988,1
kodim24.png,1,masterKeyBit,512,768,1175116,393216,99.6158175998264,99.6004740397135,33.4614586258766,33.4164737875945,1
kodim24.png,1,nonceBit,512,768,1174997,393216,99.6057298448351,99.59716796875,33.4767323745362,33.410707361558,1
kodim24.png,2,plaintextBit,512,768,1175080,393216,99.6127658420139,99.6068318684896,33.4287403247975,33.3836803560943,1
kodim24.png,2,masterKeyBit,512,768,1175092,393216,99.6137830946181,99.6101379394531,33.4416850304033,33.421315710529,1
kodim24.png,2,nonceBit,512,768,1175035,393216,99.6089511447483,99.5981852213542,33.4422950495303,33.425040650212,1
kodim24.png,3,plaintextBit,512,768,1175017,393216,99.607425265842,99.6012369791667,33.4146058325674,33.3934489730137,1
kodim24.png,3,masterKeyBit,512,768,1175044,393216,99.6097140842014,99.5905558268229,33.4533432106567,33.4331677006741,1
kodim24.png,3,nonceBit,512,768,1174984,393216,99.6046278211805,99.590810139974,33.4353288638047,33.3885073194317,1
