tileSize,tileCount,campaignIndex,replicateIndex,seed,bytesPerInvocation,timedTotalBytes,repeatCount,trialIndex,executionOrder,indexedMs,feedbackMs,pairedDeltaMs,pairedRatio
16,64,2,2,11202,49152,8404992,171,6,feedback-first,0.0921754385964912,0.0936263157894737,0.00145087719298242,1.0157403882756
16,64,2,2,11202,49152,8404992,171,7,indexed-first,0.0915836257309941,0.0901923976608187,-0.00139122807017543,0.984809205149162
16,64,2,2,11202,49152,8404992,171,8,feedback-first,0.089980701754386,0.0904748538011696,0.000494152046783616,1.00549175586708
16,64,2,2,11202,49152,8404992,171,9,indexed-first,0.0898426900584795,0.0917614035087719,0.00191871345029239,1.02135636687908
16,64,2,2,11202,49152,8404992,171,10,feedback-first,0.0898830409356725,0.0893035087719298,-0.00057953216374268,0.993552374756018
16,64,2,3,11203,49152,8404992,171,1,indexed-first,0.0895076023391813,0.0883187134502924,-0.00118888888888889,0.986717453514354
16,64,2,3,11203,49152,8404992,171,2,feedback-first,0.0893426900584795,0.0882175438596491,-0.00112514619883042,0.987406398910824
16,64,2,3,11203,49152,8404992,171,3,indexed-first,0.0894309941520468,0.0902362573099415,0.000805263157894739,1.00900429616745
16,64,2,3,11203,49152,8404992,171,4,feedback-first,0.0910426900584795,0.0897023391812865,-0.00134035087719299,0.985277775993525
16,64,2,3,11203,49152,8404992,171,5,indexed-first,0.0903795321637427,0.0892888888888889,-0.00109064327485381,0.987932629780846
16,64,2,3,11203,49152,8404992,171,6,feedback-first,0.0903824561403509,0.0892292397660819,-0.001153216374269,0.98724070551393
16,64,2,3,11203,49152,8404992,171,7,indexed-first,0.0897432748538012,0.0895210526315789,-0.000222222222222221,0.997523800835391
16,64,2,3,11203,49152,8404992,171,8,feedback-first,0.0924245614035088,0.0915286549707602,-0.000895906432748547,0.990306619591764
16,64,2,3,11203,49152,8404992,171,9,indexed-first,0.090525730994152,0.0887777777777778,-0.00174795321637425,0.980691089735722
16,64,2,3,11203,49152,8404992,171,10,feedback-first,0.0894052631578947,0.0890573099415205,-0.000347953216374264,0.996108134979036
16,256,2,1,11301,196608,8454144,43,1,indexed-first,0.351760465116279,0.350341860465116,-0.00141860465116278,0.995967128794039
16,256,2,1,11301,196608,8454144,43,2,feedback-first,0.354558139534884,0.357948837209302,0.00339069767441863,1.00956316410862
16,256,2,1,11301,196608,8454144,43,3,indexed-first,0.359627906976744,0.354804651162791,-0.00482325581395349,0.986588204862907
16,256,2,1,11301,196608,8454144,43,4,feedback-first,0.354841860465116,0.349848837209302,-0.00499302325581391,0.985928877587134
16,256,2,1,11301,196608,8454144,43,5,indexed-first,0.349076744186047,0.346923255813954,-0.002153488372093,0.993830902780091
16,256,2,1,11301,196608,8454144,43,6,feedback-first,0.361090697674419,0.355983720930233,-0.00510697674418603,0.985856803354179
16,256,2,1,11301,196608,8454144,43,7,indexed-first,0.361637209302326,0.355272093023256,-0.00636511627906983,0.982399166580924
16,256,2,1,11301,196608,8454144,43,8,feedback-first,0.360044186046512,0.35006511627907,-0.00997906976744184,0.972283763620744
16,256,2,1,11301,196608,8454144,43,9,indexed-first,0.450672093023256,0.354660465116279,-0.0960116279069768,0.786959012121431
16,256,2,1,11301,196608,8454144,43,10,feedback-first,0.353155813953488,0.350690697674419,-0.00246511627906981,0.993019748842661
16,256,2,2,11302,196608,8454144,43,1,indexed-first,0.355388372093023,0.346979069767442,-0.0084093023255814,0.976337711118527
16,256,2,2,11302,196608,8454144,43,2,feedback-first,0.353004651162791,0.352006976744186,-0.000997674418604599,0.99717376409824
16,256,2,2,11302,196608,8454144,43,3,indexed-first,0.375816279069767,0.35476976744186,-0.021046511627907,0.943997871300301
16,256,2,2,11302,196608,8454144,43,4,feedback-first,0.361641860465116,0.357874418604651,-0.00376744186046507,0.989582395534578
16,256,2,2,11302,196608,8454144,43,5,indexed-first,0.367262790697674,0.356479069767442,-0.0107837209302326,0.970637589204866
16,256,2,2,11302,196608,8454144,43,6,feedback-first,0.372755813953488,0.350406976744186,-0.0223488372093024,0.940044296097576
16,256,2,2,11302,196608,8454144,43,7,indexed-first,0.350958139534884,0.347339534883721,-0.00361860465116282,0.98968935538592
16,256,2,2,11302,196608,8454144,43,8,feedback-first,0.352193023255814,0.349255813953488,-0.00293720930232555,0.99166022860086
16,256,2,2,11302,196608,8454144,43,9,indexed-first,0.365079069767442,0.35406511627907,-0.0110139534883721,0.969831320389339
16,256,2,2,11302,196608,8454144,43,10,feedback-first,0.355604651162791,0.355174418604651,-0.000430232558139565,0.998790137989667
16,256,2,3,11303,196608,8454144,43,1,indexed-first,0.350093023255814,0.356404651162791,0.0063116279069767,1.0180284309818
16,256,2,3,11303,196608,8454144,43,2,feedback-first,0.3571,0.368602325581395,0.0115023255813954,1.03221037687313
16,256,2,3,11303,196608,8454144,43,3,indexed-first,0.360493023255814,0.353297674418605,-0.00719534883720929,0.980040254948004
16,256,2,3,11303,196608,8454144,43,4,feedback-first,0.355816279069767,0.353027906976744,-0.00278837209302324,0.992163449912092
16,256,2,3,11303,196608,8454144,43,5,indexed-first,0.353095348837209,0.354041860465116,0.000946511627906987,1.00268061199623
